schema,table,column,data_type,enum_allowed_values,is_nullable,column_default,is_identity,generated_kind,is_primary_key,is_unique,fk_schema,fk_table,fk_column,check_expression
pgsodium,key,user_data,text,null,true,null,false,null,false,false,null,null,null,"CHECK ((length(key_context) = 8)) AND CHECK (
CASE
    WHEN (raw_key IS NOT NULL) THEN ((key_id IS NULL) AND (key_context IS NULL) AND (parent_key IS NOT NULL))
    ELSE ((key_id IS NOT NULL) AND (key_context IS NOT NULL) AND (parent_key IS NULL))
END)"
public,about_page,id,bigint,null,false,null,true,null,true,false,null,null,null,null
public,about_page,appname,text,null,false,null,false,null,false,false,null,null,null,null
public,about_page,appdescription_en,text,null,false,null,false,null,false,false,null,null,null,null
public,about_page,appdescription_tr,text,null,false,null,false,null,false,false,null,null,null,null
public,about_page,is_active,boolean,null,false,true,false,null,false,false,null,null,null,null
public,about_page,created_at,timestamp with time zone,null,false,now(),false,null,false,false,null,null,null,null
public,about_page,updated_at,timestamp with time zone,null,false,now(),false,null,false,false,null,null,null,null
public,about_page,developer_en,text,null,true,null,false,null,false,false,null,null,null,null
public,about_page,developer_tr,text,null,true,null,false,null,false,false,null,null,null,null
public,age_groups,age_group_tr,text,null,true,null,false,null,false,false,null,null,null,null
public,age_groups,age_group_id,smallint,null,false,null,true,null,true,true,null,null,null,null
public,age_groups,age_group_en,text,null,true,null,false,null,false,false,null,null,null,null
public,app_config,id,uuid,null,false,gen_random_uuid(),false,null,true,false,null,null,null,null
public,app_config,platform,app_platform,"all, web, android, ios",false,'all'::app_platform,false,null,false,true,null,null,null,null
public,app_config,key,text,null,false,null,false,null,false,true,null,null,null,null
public,app_config,value_text,text,null,true,null,false,null,false,false,null,null,null,null
public,app_config,value_json,jsonb,null,true,null,false,null,false,false,null,null,null,null
public,app_config,is_active,boolean,null,false,true,false,null,false,false,null,null,null,null
public,app_config,starts_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,null
public,app_config,ends_at,timestamp with time zone,null,true,null,false,null,false,false,null,null,null,null
public,app_config,updated_at,timestamp with time zone,null,false,now(),false,null,false,false,null,null,null,null
public,app_config,updated_by,uuid,null,true,null,false,null,false,false,auth,users,id,null
